,application_number,sponsor_name,app_numb_openfda,brand_name,generic_name,manufacturer_name,product_ndc,product_type,rxcui,spl_id,spl_set_id,package_ndc,submission_type,submission_status_date,product_number,reference_drug,active_ingredients,marketing_status,reference_standard,dosage_form
10,BLA019774,FERRING,['BLA019774'],['ZOMACTON'],['SOMATROPIN'],['Ferring Pharmaceuticals Inc.'],"['55566-1801', '55566-1901', '55566-1902']",['HUMAN PRESCRIPTION DRUG'],"['241975', '284989', '1648160', '1648162']",['d76d3ab6-d998-4d47-af8b-7355bf16a764'],['85ba081b-bee0-4a9a-aa0f-ae5b5e9a0886'],"['55566-1801-1', '55566-1901-1', '55566-1902-1']",['ORIG'],['19950525'],"['003', '001', '002']","['No', 'No', 'No']","[[{'name': 'SOMATROPIN', 'strength': '10MG/VIAL'}], [{'name': 'SOMATROPIN', 'strength': '4.8MG/VIAL'}], [{'name': 'SOMATROPIN', 'strength': '5MG/VIAL'}]]","['Prescription', 'Discontinued', 'Prescription']","['No', 'No', 'No']","['INJECTABLE', 'INJECTABLE', 'INJECTABLE']"
11,BLA019818,LEADIANT BIOSCI INC,,,,,,,,,,,['ORIG'],['19900321'],['001'],['No'],"[[{'name': 'PEGADEMASE BOVINE', 'strength': '250 UNITS/ML'}]]",['Discontinued'],['No'],['INJECTABLE']
12,BLA020032,ABBVIE,,,,,,,,,,,['ORIG'],['19910701'],['001'],['No'],"[[{'name': 'BERACTANT', 'strength': '25MG/ML'}]]",['Prescription'],['No'],['SUSPENSION']
13,BLA020162,FERRING,,,,,,,,,,,['ORIG'],['19960523'],['001'],['No'],"[[{'name': 'CORTICORELIN OVINE TRIFLUTATE', 'strength': 'EQ 0.1MG BASE/VIAL'}]]",['Prescription'],['No'],['INJECTABLE']
14,BLA020280,PHARMACIA,,,,,,,,,,,['ORIG'],['19950824'],"['011', '003', '001', '008', '006', '012', '004', '010', '002', '009', '007', '013', '005']","['No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No']","[[{'name': 'SOMATROPIN', 'strength': '1.6MG/VIAL'}], [{'name': 'SOMATROPIN', 'strength': '0.6MG/VIAL'}], [{'name': 'SOMATROPIN', 'strength': '0.2MG/VIAL'}], [{'name': 'SOMATROPIN', 'strength': '1MG/VIAL'}], [{'name': 'SOMATROPIN', 'strength': '5.8MG/VIAL'}], [{'name': 'SOMATROPIN', 'strength': '1.8MG/VIAL'}], [{'name': 'SOMATROPIN', 'strength': '1.5MG/VIAL'}], [{'name': 'SOMATROPIN', 'strength': '1.4MG/VIAL'}], [{'name': 'SOMATROPIN', 'strength': '0.4MG/VIAL'}], [{'name': 'SOMATROPIN', 'strength': '1.2MG/VIAL'}], [{'name': 'SOMATROPIN', 'strength': '13.8MG/VIAL'}], [{'name': 'SOMATROPIN', 'strength': '2MG/VIAL'}], [{'name': 'SOMATROPIN', 'strength': '0.8MG/VIAL'}]]","['Prescription', 'Prescription', 'Prescription', 'Prescription', 'Prescription', 'Prescription', 'Discontinued', 'Prescription', 'Prescription', 'Prescription', 'Prescription', 'Prescription', 'Prescription']","['No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No']","['INJECTABLE', 'INJECTABLE', 'INJECTABLE', 'INJECTABLE', 'INJECTABLE', 'INJECTABLE', 'INJECTABLE', 'INJECTABLE', 'INJECTABLE', 'INJECTABLE', 'INJECTABLE', 'INJECTABLE', 'INJECTABLE']"
15,BLA020367,GENZYME,,,,,,,,,,,['ORIG'],['19940523'],"['002', '001']","['No', 'No']","[[{'name': 'IMIGLUCERASE', 'strength': '400 UNITS/VIAL'}], [{'name': 'IMIGLUCERASE', 'strength': '200 UNITS/VIAL'}]]","['Prescription', 'Prescription']","['No', 'No']","['INJECTABLE', 'INJECTABLE']"
16,BLA020378,EMD SERONO,['BLA020378'],['GONAL-F'],['FOLLITROPIN ALFA'],"['EMD Serono, Inc.']","['44087-9030', '44087-9070']",['HUMAN PRESCRIPTION DRUG'],"['351125', '351993']",['79bd5a3e-40ae-4710-9104-d54cc4683716'],['ae85b9c3-e7eb-4981-a5d9-346050e8f189'],"['44087-9030-1', '44087-9070-1']",['ORIG'],['19970929'],"['002', '005', '003', '001', '004']","['No', 'No', 'No', 'No', 'No']","[[{'name': 'FOLLITROPIN ALFA/BETA', 'strength': '150 IU/VIAL'}], [{'name': 'FOLLITROPIN ALFA/BETA', 'strength': '450 IU/VIAL'}], [{'name': 'FOLLITROPIN ALFA/BETA', 'strength': '37.5 IU/VIAL'}], [{'name': 'FOLLITROPIN ALFA/BETA', 'strength': '75 IU/VIAL'}], [{'name': 'FOLLITROPIN ALFA/BETA', 'strength': '1,050 IU/VIAL'}]]","['Discontinued', 'Prescription', 'Discontinued', 'Discontinued', 'Prescription']","['No', 'No', 'No', 'No', 'No']","['INJECTABLE', 'INJECTABLE', 'INJECTABLE', 'INJECTABLE', 'INJECTABLE']"
17,BLA020521,ONY,,,,,,,,,,,['ORIG'],['19980701'],['001'],['No'],"[[{'name': 'CALFACTANT', 'strength': '35MG/ML'}]]",['Prescription'],['No'],['SUSPENSION']
18,BLA020522,GENENTECH,,,,,,,,,,,['ORIG'],['19951229'],"['006', '004', '002', '005', '003', '001']","['No', 'No', 'No', 'No', 'No', 'No']","[[{'name': 'SOMATROPIN', 'strength': '20MG/2ML (10MG/ML)'}], [{'name': 'SOMATROPIN', 'strength': '20MG/2ML (10MG/ML)'}], [{'name': 'SOMATROPIN', 'strength': '10MG/2ML (5MG/ML)'}], [{'name': 'SOMATROPIN', 'strength': '10MG/2ML (5MG/ML)'}], [{'name': 'SOMATROPIN', 'strength': '5MG/2ML (2.5MG/ML)'}], [{'name': 'SOMATROPIN', 'strength': '10MG/2ML (5MG/ML)'}]]","['Discontinued', 'Prescription', 'Discontinued', 'Prescription', 'Prescription', 'Discontinued']","['No', 'No', 'No', 'No', 'No', 'No']","['INJECTABLE', 'INJECTABLE', 'INJECTABLE', 'INJECTABLE', 'INJECTABLE', 'INJECTABLE']"
19,BLA020563,LILLY,['BLA020563'],"['INSULIN LISPRO', 'INSULIN LISPRO JUNIOR KWIKPEN', 'INSULIN LISPRO KWIKPEN', 'HUMALOG', 'HUMALOG  JUNIOR KWIKPEN', 'HUMALOG  TEMPO PEN', 'HUMALOG KWIKPEN']",['INSULIN LISPRO'],"['Eli Lilly and Company', 'ImClone LLC']","['0002-7737', '0002-8222', '0002-7752', '66733-773', '66733-822', '0002-7510', '0002-8799', '0002-7516', '0002-7712', '0002-7714', '0002-8213']",['HUMAN PRESCRIPTION DRUG'],"['242120', '1652639', '1926331', '865098', '1652239', '1652242', '1652640', '1652644', '1652646', '1926332']","['4032dbf0-5ec7-4d67-8a95-5fcb686682d7', '19e48f5d-011c-427c-ad08-1ec22626361f', '28413b62-921e-4eb4-bd8b-cf17d752a448']","['97d5e596-aae1-42c9-ae89-c3780959c467', '9a4607f1-04ee-4a7b-89de-a871d91557f6', 'c8ecbd7a-0e22-4fc7-a503-faa58c1b6f3f']","['0002-7737-01', '0002-8222-01', '0002-8222-59', '0002-7752-01', '0002-7752-05', '66733-773-01', '66733-822-01', '66733-822-59', '0002-7510-01', '0002-7510-17', '0002-7510-99', '0002-8799-01', '0002-8799-59', '0002-8799-61', '0002-7516-01', '0002-7516-59', '0002-7516-99', '0002-7712-01', '0002-7712-27', '0002-7712-61', '0002-7714-01', '0002-7714-59', '0002-7714-61', '0002-8213-01', '0002-8213-05']",['ORIG'],['19960614'],"['004', '002', '005', '003', '001']","['No', 'No', 'No', 'No', 'No']","[[{'name': 'INSULIN LISPRO RECOMBINANT', 'strength': '200UNITS/ML'}], [{'name': 'INSULIN LISPRO RECOMBINANT', 'strength': '100 UNITS/ML'}], [{'name': 'INSULIN LISPRO RECOMBINANT', 'strength': '100UNITS/ML'}], [{'name': 'INSULIN LISPRO RECOMBINANT', 'strength': '100 UNITS/ML'}], [{'name': 'INSULIN LISPRO RECOMBINANT', 'strength': '100 UNITS/ML'}]]","['Prescription', 'Discontinued', 'Prescription', 'Prescription', 'Prescription']","['No', 'No', 'No', 'No', 'No']","['INJECTABLE', 'INJECTABLE', 'INJECTABLE', 'INJECTABLE', 'INJECTABLE']"
20,BLA020604,EMD SERONO,['BLA020604'],['SEROSTIM'],['SOMATROPIN'],"['EMD Serono, Inc.']","['44087-0004', '44087-0005', '44087-0006']",['HUMAN PRESCRIPTION DRUG'],"['248288', '249453', '346494', '751566', '751568', '751570']",['e5253b12-04cd-4bb9-a78a-b0d15d88d6fc'],['62b01d29-90f0-45b2-a0c4-3a750ba36c8a'],"['44087-0004-7', '44087-0005-7', '44087-0006-7']",['ORIG'],['19960823'],"['003', '001', '004', '002', '005']","['No', 'No', 'No', 'No', 'No']","[[{'name': 'SOMATROPIN', 'strength': '4MG/VIAL'}], [{'name': 'SOMATROPIN', 'strength': '6MG/VIAL'}], [{'name': 'SOMATROPIN', 'strength': '8.8MG/VIAL'}], [{'name': 'SOMATROPIN', 'strength': '5MG/VIAL'}], [{'name': 'SOMATROPIN', 'strength': '6MG/0.5ML (6MG/0.5ML)'}]]","['Prescription', 'Prescription', 'Discontinued', 'Prescription', 'Discontinued']","['No', 'No', 'No', 'No', 'No']","['INJECTABLE', 'INJECTABLE', 'INJECTABLE', 'INJECTABLE', 'INJECTABLE']"
21,BLA020744,CHIESI USA INC,['BLA020744'],['CUROSURF'],['PORACTANT ALFA'],"['Chiesi USA, Inc.']",['10122-510'],['HUMAN PRESCRIPTION DRUG'],"['259216', '261329']",['ff778bf9-dd34-44a7-8ac2-4755683cb371'],['99bef307-00bd-4379-9f45-ede1380e74d4'],"['10122-510-01', '10122-510-03']",['ORIG'],['19991118'],['001'],['No'],"[[{'name': 'PORACTANT ALFA', 'strength': '80MG/ML'}]]",['Prescription'],['No'],['SUSPENSION']
22,BLA020898,GENZYME,['BLA020898'],['THYROGEN'],['THYROTROPIN ALFA'],['Genzyme Corporation'],"['58468-0030', '58468-1849']",['HUMAN PRESCRIPTION DRUG'],"['2166572', '2166573', '2166578', '2166579', '2554801', '2554802', '2554804', '2554805']",['4decee69-2b22-462f-a15c-7bc76248604d'],['b52dfa36-f90b-4e19-9b5e-26db9d04df2b'],"['58468-0030-1', '58468-0030-2', '58468-1849-4']",['ORIG'],['19981130'],['001'],['No'],"[[{'name': 'THYROTROPIN ALFA', 'strength': '1.1MG/VIAL'}]]",['Prescription'],['No'],['INJECTABLE']
23,BLA020986,NOVO NORDISK INC,,,,,,,,,,,['ORIG'],['20000607'],"['002', '005', '003', '001', '004']","['No', 'No', 'No', 'No', 'No']","[[{'name': 'INSULIN ASPART RECOMBINANT', 'strength': '300 UNITS/3ML (100 UNITS/ML)'}], [{'name': 'INSULIN ASPART RECOMBINANT', 'strength': '300 UNITS/3ML (100 UNITS/ML)'}], [{'name': 'INSULIN ASPART RECOMBINANT', 'strength': '300 UNITS/3ML (100 UNITS/ML)'}], [{'name': 'INSULIN ASPART RECOMBINANT', 'strength': '1000 UNITS/10ML (100 UNITS/ML)'}], [{'name': 'INSULIN ASPART RECOMBINANT', 'strength': '300 UNITS/3ML (100 UNITS/ML)'}]]","['Prescription', 'Discontinued', 'Prescription', 'Prescription', 'Discontinued']","['No', 'No', 'No', 'No', 'No']","['INJECTABLE', 'INJECTABLE', 'INJECTABLE', 'INJECTABLE', 'INJECTABLE']"
24,BLA021017,LILLY,['BLA021017'],"['HUMALOG MIX75/25', 'HUMALOG MIX75/25 KWIKPEN', 'INSULIN LISPRO PROTAMINE AND INSULIN LISPRO INJECTABLE SUSPENSION  MIX75/25 KWIKPEN']",['INSULIN LISPRO'],['Eli Lilly and Company'],"['0002-7511', '0002-8797', '0002-8233']",['HUMAN PRESCRIPTION DRUG'],"['259111', '752388', '847252', '847254']","['23e0ba44-8066-4f70-a34b-e3b7bdd580ad', '14062960-5954-4bb0-b1b3-66322c8eec8a']","['c73da51a-1899-45ad-b6cf-9c52c36a25dd', 'e49f701d-c19f-4cb2-b63f-01a917b33abc']","['0002-7511-01', '0002-7511-99', '0002-8797-01', '0002-8797-59', '0002-8797-61', '0002-8233-01', '0002-8233-05']",['ORIG'],['19991222'],"['003', '001', '002']","['No', 'No', 'No']","[[{'name': 'INSULIN LISPRO PROTAMINE RECOMBINANT', 'strength': '75 UNITS/ML'}, {'name': 'INSULIN LISPRO RECOMBINANT', 'strength': '25 UNITS/ML'}], [{'name': 'INSULIN LISPRO PROTAMINE RECOMBINANT', 'strength': '75 UNITS/ML'}, {'name': 'INSULIN LISPRO RECOMBINANT', 'strength': '25 UNITS/ML'}], [{'name': 'INSULIN LISPRO PROTAMINE RECOMBINANT', 'strength': '75 UNITS/ML'}, {'name': 'INSULIN LISPRO RECOMBINANT', 'strength': '25 UNITS/ML'}]]","['Discontinued', 'Prescription', 'Prescription']","['No', 'No', 'No']","['INJECTABLE', 'INJECTABLE', 'INJECTABLE']"
25,BLA021018,LILLY,['BLA021018'],"['HUMALOG MIX50/50', 'HUMALOG MIX50/50 KWIKPEN']",['INSULIN LISPRO'],['Eli Lilly and Company'],"['0002-7512', '0002-8798']",['HUMAN PRESCRIPTION DRUG'],"['260265', '731281', '847211', '847213']",['934e11ce-8aa8-468e-9d4b-43c1f1a085c7'],['b34cd3ff-d0af-4852-b4ef-2a8b4a93aeae'],"['0002-7512-01', '0002-7512-99', '0002-8798-01', '0002-8798-59', '0002-8798-99']",['ORIG'],['19991222'],"['002', '003', '001']","['No', 'No', 'No']","[[{'name': 'INSULIN LISPRO PROTAMINE RECOMBINANT', 'strength': '50 UNITS/ML'}, {'name': 'INSULIN LISPRO RECOMBINANT', 'strength': '50 UNITS/ML'}], [{'name': 'INSULIN LISPRO PROTAMINE RECOMBINANT', 'strength': '50 UNITS/ML'}, {'name': 'INSULIN LISPRO RECOMBINANT', 'strength': '50 UNITS/ML'}], [{'name': 'INSULIN LISPRO PROTAMINE RECOMBINANT', 'strength': '50 UNITS/ML'}, {'name': 'INSULIN LISPRO RECOMBINANT', 'strength': '50 UNITS/ML'}]]","['Prescription', 'Discontinued', 'Prescription']","['No', 'No', 'No']","['INJECTABLE', 'INJECTABLE', 'INJECTABLE']"
26,BLA021106,PHARMACIA,,,,,,,,,,,['ORIG'],['20030325'],"['005', '003', '001', '004', '002']","['No', 'No', 'No', 'No', 'No']","[[{'name': 'PEGVISOMANT', 'strength': '30MG/VIAL'}], [{'name': 'PEGVISOMANT', 'strength': '20MG/VIAL'}], [{'name': 'PEGVISOMANT', 'strength': '10MG/VIAL'}], [{'name': 'PEGVISOMANT', 'strength': '25MG/VIAL'}], [{'name': 'PEGVISOMANT', 'strength': '15MG/VIAL'}]]","['Prescription', 'Prescription', 'Prescription', 'Prescription', 'Prescription']","['No', 'No', 'No', 'No', 'No']","['INJECTABLE', 'INJECTABLE', 'INJECTABLE', 'INJECTABLE', 'INJECTABLE']"
27,BLA021172,NOVO NORDISK INC,['BLA021172'],"['INSULIN ASPART PROTAMINE AND INSULIN ASPART MIX 70/30', 'NOVOLOG MIX 70/30']",['INSULIN ASPART'],"['Novo Nordisk Pharma, Inc.', 'Novo Nordisk']","['73070-200', '73070-203', '0169-2200', '0169-3685', '0169-3696', '0169-2201']",['HUMAN PRESCRIPTION DRUG'],"['351297', '847191', '977840', '977842']","['73a42b1e-09fb-45e1-b3b1-5c8fea52bc2f', '3fdc375f-3c78-4a91-9bcd-092f51332b41']","['fc94baa4-3606-48bc-a781-9617ab6960ef', '1861fcee-7673-4afe-a206-08fa05c0add2']","['73070-200-11', '73070-203-10', '73070-203-15', '0169-3685-12', '0169-3685-92', '0169-3696-19', '0169-3696-97', '0169-3696-90', '0169-3696-98', '0169-2200-11', '0169-2201-25']",['ORIG'],['20011101'],"['003', '001', '004', '002']","['No', 'No', 'No', 'No']","[[{'name': 'INSULIN ASPART PROTAMINE RECOMBINANT', 'strength': '210 UNITS/3ML'}, {'name': 'INSULIN ASPART RECOMBINANT', 'strength': '90 UNITS/3ML (70 UNITS/ML'}], [{'name': 'INSULIN ASPART PROTAMINE RECOMBINANT', 'strength': '700 UNITS/10ML'}, {'name': 'INSULIN ASPART RECOMBINANT', 'strength': '300 UNITS/10ML (70 UNITS/ML'}], [{'name': 'INSULIN ASPART PROTAMINE RECOMBINANT', 'strength': '210 UNITS/3ML'}, {'name': 'INSULIN ASPART RECOMBINANT', 'strength': '90 UNITS/3ML (70 UNITS/ML'}], [{'name': 'INSULIN ASPART PROTAMINE RECOMBINANT', 'strength': '210 UNITS/3ML'}, {'name': 'INSULIN ASPART RECOMBINANT', 'strength': '90 UNITS/3ML (70 UNITS/ML'}]]","['Discontinued', 'Prescription', 'Prescription', 'Discontinued']","['No', 'No', 'No', 'No']","['INJECTABLE', 'INJECTABLE', 'INJECTABLE', 'INJECTABLE']"
28,BLA021211,ORGANON USA INC,,,,,,,,,,,['ORIG'],['20040323'],"['003', '001', '004', '002']","['No', 'No', 'No', 'No']","[[{'name': 'FOLLITROPIN ALFA/BETA', 'strength': '150 IU/0.18ML'}], [{'name': 'FOLLITROPIN ALFA/BETA', 'strength': '300 IU/0.36ML'}], [{'name': 'FOLLITROPIN ALFA/BETA', 'strength': '900 IU/1.08ML'}], [{'name': 'FOLLITROPIN ALFA/BETA', 'strength': '600 IU/0.72ML'}]]","['Discontinued', 'Prescription', 'Prescription', 'Prescription']","['No', 'No', 'No', 'No']","['INJECTABLE', 'INJECTABLE', 'INJECTABLE', 'INJECTABLE']"
29,BLA021271,BAUSCH,,,,,,,,,,,['ORIG'],['20030404'],['001'],['No'],"[[{'name': 'DESIRUDIN RECOMBINANT', 'strength': '15MG/VIAL'}]]",['Discontinued'],['No'],['INJECTABLE']
30,BLA021289,FERRING,,,,,,,,,,,['ORIG'],['20020506'],['001'],['No'],"[[{'name': 'UROFOLLITROPIN', 'strength': '75 IU/VIAL'}]]",['Discontinued'],['No'],['INJECTABLE']
31,BLA021426,SANDOZ,['BLA021426'],['OMNITROPE'],['SOMATROPIN'],['Sandoz Inc'],"['0781-3001', '0781-3004', '0781-4004']",['HUMAN PRESCRIPTION DRUG'],"['241975', '645884', '854302', '864110', '1736267', '1736337']",['3d887ce0-f7f1-4b49-adb7-b70eb707a67e'],['58d84ffa-4056-4e36-ad67-7bd4aef444a5'],"['0781-3001-26', '0781-3001-07', '0781-3004-26', '0781-3004-07', '0781-4004-36', '0781-4014-71', '0781-4024-72']",['ORIG'],['20060530'],"['003', '001', '004', '002']","['No', 'No', 'No', 'No']","[[{'name': 'SOMATROPIN', 'strength': '5MG/1.5ML'}], [{'name': 'SOMATROPIN', 'strength': '5.8MG/VIAL'}], [{'name': 'SOMATROPIN', 'strength': '10MG/1.5ML'}], [{'name': 'SOMATROPIN', 'strength': '1.5MG/VIAL'}]]","['Prescription', 'Prescription', 'Prescription', 'Prescription']","['No', 'No', 'No', 'No']","['INJECTABLE', 'INJECTABLE', 'INJECTABLE', 'INJECTABLE']"
32,BLA021536,NOVO NORDISK INC,,,,,,,,,,,['ORIG'],['20050616'],"['005', '003', '001', '004', '002']","['No', 'No', 'No', 'No', 'No']","[[{'name': 'INSULIN DETEMIR RECOMBINANT', 'strength': '300 UNITS/3ML (100 UNITS/ML)'}], [{'name': 'INSULIN DETEMIR RECOMBINANT', 'strength': '300 UNITS/3ML (100 UNITS/ML)'}], [{'name': 'INSULIN DETEMIR RECOMBINANT', 'strength': '1000 UNITS/10ML (100 UNITS/ML)'}], [{'name': 'INSULIN DETEMIR RECOMBINANT', 'strength': '300 UNITS/3ML (100 UNITS/ML)'}], [{'name': 'INSULIN DETEMIR RECOMBINANT', 'strength': '300 UNITS/3ML (100 UNITS/ML)'}]]","['Prescription', 'Discontinued', 'Prescription', 'Discontinued', 'Discontinued']","['No', 'No', 'No', 'No', 'No']","['INJECTABLE', 'INJECTABLE', 'INJECTABLE', 'INJECTABLE', 'INJECTABLE']"
33,BLA021597,EMD SERONO,,,,,,,,,,,['ORIG'],['20031201'],"['002', '003', '001', '004']","['No', 'No', 'No', 'No']","[[{'name': 'SOMATROPIN RECOMBINANT', 'strength': '5MG/VIAL'}], [{'name': 'SOMATROPIN RECOMBINANT', 'strength': '6MG/VIAL'}], [{'name': 'SOMATROPIN RECOMBINANT', 'strength': '4MG/VIAL'}], [{'name': 'SOMATROPIN RECOMBINANT', 'strength': '8.8MG/VIAL'}]]","['Discontinued', 'Discontinued', 'Discontinued', 'Prescription']","['No', 'No', 'No', 'No']","['INJECTABLE', 'INJECTABLE', 'INJECTABLE', 'INJECTABLE']"
34,BLA021640,BAUSCH AND LOMB,,,,,,,,,,,['ORIG'],['20040505'],"['001', '002']","['No', 'No']","[[{'name': 'HYALURONIDASE', 'strength': '6,200 UNITS/VIAL'}], [{'name': 'HYALURONIDASE', 'strength': '200 UNITS/VIAL'}]]","['Discontinued', 'Prescription']","['No', 'No']","['INJECTABLE', 'INJECTABLE']"
